N-HSEA	&
SK-SOYT	chớm
SK-SOYN	chớn
SK-SOYTK	chớp
SK-SOYNT	chớt
SK-HOY	chờ
SK-HOYT	chờm
SK-HOYN	chờn
SK-HSOY	chở
SK-HSOYT	chởm
SKN-OY	chợ
SKN-OYN	chợn
SKN-OYTK	chợp
SKN-OYNT	chợt
SKN-IUNK	chục
SKN-IUT	chụm
SKN-IUTK	chụp
SKN-IUNT	chụt
SK-HSIU	chủ
SK-HSIUN	chủn
SK-HSIUG	chủng
SK-SUA	chứ
SK-SEA	chứa
SK-SUANK	chức
SK-SUAG	chứng
SK-HUA	chừ
SK-HEA	chừa
SK-HUAG	chừng
SK-HSEA	chửa
SK-HSUAJ	chửi
SK-HSUAG	chửng
SKN-SUA	chữ
SKN-SEA	chữa
SKN-SUAG	chững
SKN-UANK	chực
SKN-UAG	chựng
K-O	co
K-OJ	coi
K-OT	com
K-ON	con
K-OG	cong
K-IU	cu
K-UO	cua
K-IUJ	cui
K-IUT	cum
K-IUN	cun
K-IUG	cung
K-UOG	cuông
K-SUONK	cuốc
K-SUOJ	cuối
K-SUON	cuốn
K-SUOG	cuống
K-HUON	cuồn
K-HUOG	cuồng
KN-SUOT	cuỗm
KN-UONK	cuộc
KN-UOJ	cuội
KN-UON	cuộn
KN-UOG	cuộng
K-HA	cà
K-HAJ	cài
K-HAT	càm
K-HAN	càn
K-HAG	càng
K-HAK	cành
K-HAJK	cào
K-HAJG	càu
K-HAJN	cày
K-SA	cá
K-SANK	các
K-SAGK	cách
K-SAJ	cái
K-SAT	cám
K-SAN	cán
K-SAG	cáng
K-SAK	cánh
K-SAJK	cáo
K-SATK	cáp
K-SANT	cát
K-SAJG	cáu
K-SAJN	cáy
K*-ET	câm
K*-EN	cân
K*-EG	câng
K*-EJG	câu
K*-EJN	cây
KN-SAJ	cãi
K-HO	cò
K-HOJ	còi
K-HOT	còm
K-HON	còn
K-HOG	còng
K-SO	có
K-SONK	cóc
K-SOJ	cói
K-SOT	cóm
K-SON	cón
K-SOG	cóng
K-SOTK	cóp
K-SONT	cót
K-OA	cô
K-OAJ	côi
K-OAT	côm
K-OAN	côn
K-OAG	công
KN-SOJ	cõi
KN-SOT	cõm
KN-SOG	cõng
K-HIU	cù
K-HIUJ	cùi
K-HIUT	cùm
K-HIUN	cùn
K-HIUG	cùng
K-SIU	cú
K-SIUNK	cúc
K-SIUJ	cúi
K-SIUT	cúm
K-SIUN	cún
K-SIUG	cúng
K-SIUTK	cúp
K-SIUNT	cút
K*-AT	căm
K*-AN	căn
K*-AG	căng
KN-SIU	cũ
KN-SIUJ	cũi
KN-SIUN	cũn
KN-SIUG	cũng
K-OY	cơ
K-OYJ	cơi
K-OYT	cơm
K-OYN	cơn
K-UA	cư
K-EA	cưa
K-UAG	cưng
K-UAJG	cưu
K-EAG	cương
K-SEANK	cước
K-SEAJ	cưới
K-SEATK	cướp
K-HEAJ	cười
K-HEAT	cườm
K-HEAG	cường
KN-SEAJ	cưỡi
KN-SEAG	cưỡng
KN-EANK	cược
KN-A	cạ
KN-ANK	cạc
KN-AGK	cạch
KN-AT	cạm
KN-AN	cạn
KN-AK	cạnh
KN-AJK	cạo
KN-ATK	cạp
KN-AJG	cạu
KN-AJN	cạy
K-HSA	cả
K-HSAJ	cải
K-HSAT	cảm
K-HSAN	cản
K-HSAG	cảng
K-HSAK	cảnh
K-HSAJK	cảo
K-HSAJG	cảu
K-S*ENK	cấc
K-S*ET	cấm
K-S*EN	cấn
K-S*ETK	cấp
K-S*ENT	cất
K-S*EJG	cấu
K-S*EJN	cấy
K-H*ET	cầm
K-H*EN	cần
K-H*EJG	cầu
K-H*EJN	cầy
K-HS*ET	cẩm
K-HS*EN	cẩn
K-HS*EG	cẩng
K-HS*EJG	cẩu
KN-S*ET	cẫm
KN-S*EN	cẫn
KN-S*EG	cẫng
KN*-EN	cận
KN*-ETK	cập
KN*-ENT	cật
KN*-EJG	cậu
KN*-EJN	cậy
K-S*ANK	cắc
K-S*AT	cắm
K-S*AN	cắn
K-S*ATK	cắp
K-S*ANT	cắt
K-H*AT	cằm
K-H*AN	cằn
K-HS*AN	cẳn
K-HS*AG	cẳng
KN*-ANK	cặc
KN*-AT	cặm
KN*-AN	cặn
KN*-ATK	cặp
KN*-ANT	cặt
KN-O	cọ
KN-ONK	cọc
KN-OJ	cọi
KN-OT	cọm
KN-ON	cọn
KN-OG	cọng
KN-OTK	cọp
KN-ONT	cọt
K-HSO	cỏ
K-HSOJ	cỏi
K-HSOT	cỏm
K-HSON	cỏn
K-SOA	cố
K-SOANK	cốc
K-SOAJ	cối
K-SOAT	cốm
K-SOAN	cốn
K-SOAG	cống
K-SOATK	cốp
K-SOANT	cốt
K-HOA	cồ
K-HOAJ	cồi
K-HOAT	cồm
K-HOAN	cồn
K-HOAG	cồng
K-HSOA	cổ
K-HSOAJ	cổi
K-HSOAT	cổm
K-HSOAN	cổn
K-HSOAG	cổng
KN-SOA	cỗ
KN-SOAJ	cỗi
KN-OA	cộ
KN-OANK	cộc
KN-OAJ	cội
KN-OAT	cộm
KN-OAN	cộn
KN-OAG	cộng
KN-OATK	cộp
KN-OANT	cột
K-SOY	cớ
K-SOYT	cớm
K-SOYN	cớn
K-SOYNT	cớt
K-HOY	cờ
K-HOYJ	cời
K-HSOYJ	cởi
KN-SOY	cỡ
KN-SOYJ	cỡi
KN-SOYT	cỡm
KN-SOYN	cỡn
KN-OYT	cợm
KN-OYN	cợn
KN-OYTK	cợp
KN-OYNT	cợt
KN-IU	cụ
KN-IUNK	cục
KN-IUJ	cụi
KN-IUT	cụm
KN-IUG	cụng
KN-IUTK	cụp
KN-IUNT	cụt
K-HSIU	củ
K-HSUO	của
K-HSIUJ	củi
K-HSIUT	củm
K-HSIUN	củn
K-HSIUG	củng
K-SUA	cứ
K-SEA	cứa
K-SUANK	cức
K-SUAG	cứng
K-SUANT	cứt
K-SUAJG	cứu
K-HUA	cừ
K-HUAJG	cừu
K-HSUA	cử
K-HSEA	cửa
K-HSUAJ	cửi
K-HSUAJG	cửu
KN-SUA	cữ
KN-SUAJG	cữu
KN-UA	cự
KN-EA	cựa
KN-UANK	cực
KN-UAJG	cựu
SKR-A	da
SKR-AJ	dai
SKR-AT	dam
SKR-AN	dan
SKR-AG	dang
SKR-AK	danh
SKR-AJK	dao
SKR-AJN	day
SKR-E	de
SKR-EN	den
SKR-EJK	deo
SKR*-I	di
SKR*-IT	dim
SKR*-IN	din
SKR*-IK	dinh
SKR-IET	diêm
SKR-IEN	diên
SKR-IEJG	diêu
SKR-SIENK	diếc
SKR-SIET	diếm
SKR-SIETK	diếp
SKR-SIENT	diết
SKR-SIEJG	diếu
SKR-HIET	diềm
SKR-HIEG	diềng
SKR-HIEJG	diều
SKRN-SIET	diễm
SKRN-SIEN	diễn
SKRN-SIEJG	diễu
SKRN-IENK	diệc
SKRN-IET	diệm
SKRN-IEN	diện
SKRN-IETK	diệp
SKRN-IENT	diệt
SKRN-IEJG	diệu
SKR-O	do
SKR-U	doa
SKR-UK	doanh
SKR-OJ	doi
SKR-OT	dom
SKR-ON	don
SKR-OG	dong
SKR-HUK	doành
SKR-SU	doá
SKRN-SUJ	doãi
SKRN-SUN	doãn
SKRN-U	doạ
SKR-IU	du
SKR-UO	dua
SKR-IUN	dun
SKR-IUG	dung
SKR-UY	duy
SKR-EYN	duyên
SKRN-EYNT	duyệt
SKR-UOJ	duôi
SKR-HUEK	duềnh
SKRN-UE	duệ
SKR-SUONK	duốc
SKR-SUOJ	duối
SKRN-SUOJ	duỗi
SKRN-UONK	duộc
SKR-HA	dà
SKR-HAJ	dài
SKR-HAT	dàm
SKR-HAN	dàn
SKR-HAG	dàng
SKR-HAK	dành
SKR-HAJK	dào
SKR-HAJG	dàu
SKR-HAJN	dày
SKR-SA	dá
SKR-SANK	dác
SKR-SAGK	dách
SKR-SAJ	dái
SKR-SAT	dám
SKR-SAN	dán
SKR-SAG	dáng
SKR-SAJK	dáo
SKR-SANT	dát
SKR-SAJN	dáy
SKR*-ET	dâm
SKR*-EN	dân
SKR*-EG	dâng
SKR*-EJG	dâu
SKR*-EJN	dây
SKRN-SA	dã
SKRN-SAJ	dãi
SKRN-SAN	dãn
SKRN-SAJK	dão
SKRN-SAJN	dãy
SKR-HE	dè
SKR-HEN	dèn
SKR-SE	dé
SKR-SET	dém
SKR-SETK	dép
SKR-OE	dê
SKR-OEK	dênh
SKR-H*I	dì
SKR-HIE	dìa
SKR-H*IT	dìm
SKR-H*IJG	dìu
SKR-S*I	dí
SKR-S*IT	dím
SKR-S*IK	dính
SKR-S*ITK	díp
SKR-S*IJG	díu
SKR-HO	dò
SKR-HOJ	dòi
SKR-HOT	dòm
SKR-HOG	dòng
SKR-SO	dó
SKR-SONK	dóc
SKR-SOJ	dói
SKR-SOT	dóm
SKR-SOG	dóng
SKR-OA	dô
SKR-OAJ	dôi
SKR-OAG	dông
SKRN-SO	dõ
SKRN-SOJ	dõi
SKRN-SOT	dõm
SKRN-SOG	dõng
SKR-HIU	dù
SKR-HUO	dùa
SKR-HIUJ	dùi
SKR-HIUN	dùn
SKR-HIUG	dùng
SKR-SUO	dúa
SKR-SIUJ	dúi
SKR-SIUT	dúm
SKR-SIUN	dún
SKR-SIUG	dúng
SKR-SIUNT	dút
SKR*-AT	dăm
SKR*-AN	dăn
SKR*-AG	dăng
SKRN-S*I	dĩ
SKRN-SIE	dĩa
SKRN-S*IN	dĩn
SKRN-S*IK	dĩnh
SKRN-SUO	dũa
SKRN-SIUJ	dũi
SKRN-SIUG	dũng
SKR-OY	dơ
SKR-OYJ	dơi
SKR-OYN	dơn
SKR-UA	dư
SKR-EA	dưa
SKR-UAG	dưng
SKR-EAG	dương
SKR-SEAJ	dưới
SKR-SEAN	dướn
SKR-SEAG	dướng
SKR-HEAN	dườn
SKR-HEAG	dường
SKRN-SEAG	dưỡng
SKRN-EANK	dược
SKRN-EAJ	dượi
SKRN-EAG	dượng
SKRN-EANT	dượt
SKRN-A	dạ
SKRN-ANK	dạc
SKRN-AJ	dại
SKRN-AT	dạm
SKRN-AN	dạn
SKRN-AG	dạng
